logFC	AveExpr	t	P.Value	adj.P.Val	B	GB_ACC	ID	UG_CLUSTER	DESCRIPTION	GENE_SYMBOL	display_label	deg_class
-0.480488575100636	-0.482204812726247	-4.82208169753774	0.000271197938868754	0.110500832909978	0.60732837256799	AA022561	1294	Hs.517717	SATB homeobox 1	SATB1	SATB1	Not_significant
-0.563298531327925	-0.570416239560186	-4.78563789607645	0.000290416227994088	0.114851076517897	0.547588623877113	AA702422	6952	Hs.532632	Ataxin 3	ATXN3	ATXN3	Not_significant
0.946817817964436	0.94141093761027	4.87372623310338	0.000311414791323866	0.119606984287744	0.489057222961049	AA975388	7750	Hs.37044	Peripherin	PRPH	PRPH	Not_significant
-0.48743546506672	-0.540697253916216	-4.73376256031643	0.000320232889659287	0.119606984287744	0.462211924317127	AA683351	6798	Hs.466917	Splicing factor, arginine/serine-rich 16	SFRS16	SFRS16	Not_significant
-0.461609677321879	-0.454505596089761	-4.71874463908182	0.000329442650197684	0.119721239852921	0.437421401581353	AA609600	6080	Hs.655320	Chromosome 8 open reading frame 40	C8orf40	C8orf40	Not_significant
-0.58566303341388	-0.594692769088689	-4.6881289439512	0.000350412421234814	0.121416430487822	0.3838078225327	W94063	14400	Hs.433629	Small proline-rich protein 4	SPRR4	SPRR4	Not_significant
-0.602139420905811	-0.617940090812776	-4.68977109077055	0.000352167245948615	0.121416430487822	0.380225531319695	AA176491	2303	Data not found		NA	AA176491	Not_significant
-0.467165710850897	-0.487219951864079	-4.63171562944525	0.000388477025271678	0.130586552045075	0.293118167319754	AA035130	1428	Hs.523550	Zinc finger protein 364	ZNF364	ZNF364	Not_significant
-0.614882114441986	-0.586188291207822	-4.54532043246278	0.000475937801915912	0.153270573272327	0.119163021555147	AA055221	1636	Hs.555966	Apoptosis, caspase activation inhibitor	AVEN	AVEN	Not_significant
-0.499286523095065	-0.47954269443046	-4.52204018799209	0.000478756810756935	0.153270573272327	0.109748254918563	AA495810	5675	Hs.23361	Ankyrin repeat and BTB (POZ) domain containing 2	ABTB2	ABTB2	Not_significant
0.893830065086508	0.893830065086508	4.70712270296406	0.000508298746484437	0.154786014824755	0.0639029442234369	N81032	11169	Data not found		NA	N81032	Not_significant
0.654285763061602	0.637757270327683	4.48367447043676	0.000515225236872734	0.154786014824755	0.0452175445293905	H48281	8771	Hs.646433	Microtubule associated monoxygenase, calponin and LIM domain containing 3	MICAL3	MICAL3	Not_significant
-0.519530763930196	-0.487174875151431	-4.48084507152144	0.000518025484687936	0.154786014824755	0.040450797989509	T66902	13232	Hs.186649	Hypothetical protein LOC54103	LOC54103	LOC54103	Not_significant
-0.574923312650493	-0.571451182334062	-4.47409828205436	0.000535370170243321	0.155158878800524	0.0137874250295891	W93523	14388	Hs.167805	Enhancer of polycomb homolog 1 (Drosophila)	EPC1	EPC1	Not_significant
-0.470123124629397	-0.496901517383691	-4.45181443971663	0.000547678331132909	0.155158878800524	-0.00851830410282872	AA705382	7075	Hs.501296	AT rich interactive domain 3A (BRIGHT-like)	ARID3A	ARID3A	Not_significant
-0.452226989534889	-0.4581614758967	-4.44463694970993	0.000555275402012992	0.155158878800524	-0.0206422622216884	R08297	11522	Hs.634969	Transcribed locus	NA	R08297	Not_significant
-0.578726313594664	-0.567754157750363	-4.44856915097661	0.000565430987745477	0.155158878800524	-0.0335787431438552	W45518	13853	Hs.647069	Solute carrier family 4, anion exchanger, member 2 (erythrocyte membrane protein band 3-like 1)	SLC4A2	SLC4A2	Not_significant
-0.627739139403876	-0.591805863637165	-4.44479013855101	0.000584200956967124	0.157103321347599	-0.0593113600084285	AA465692	5060	Hs.331431	SCC-112 protein	SCC-112	SCC-112	Not_significant
-0.404257573152143	-0.401881291798647	-4.40046240118175	0.000604480832091633	0.158434042281051	-0.0954057828985357	AA232647	2469	Hs.463569	Vascular endothelial zinc finger 1	VEZF1	VEZF1	Not_significant
-0.456328827409019	-0.488912561764157	-4.38774061830026	0.000619467109009429	0.158434042281051	-0.11698270703185	T47788	12996	Hs.655377	Apoptosis-inducing factor, mitochondrion-associated, 2	AIFM2	AIFM2	Not_significant
-0.4650379580329	-0.470690763577445	-4.37782590899324	0.000631411096315406	0.158434042281051	-0.133812695786973	AA777192	7377	Hs.47062	Polymerase (RNA) II (DNA directed) polypeptide I, 14.5kDa	POLR2I	POLR2I	Not_significant
-0.603255734802964	-0.557443868018072	-4.39670999036354	0.000636281294301412	0.158434042281051	-0.13520076173641	AA455275	4428	Hs.18946	Mitochondrial ribosomal protein S26	MRPS26	MRPS26	Not_significant
-0.792051647549842	-0.725406712760598	-4.57393040650664	0.000688986856097399	0.168438495765193	-0.215977181067731	AA194043	2390	Hs.654542	Bradykinin receptor B2	BDKRB2	BDKRB2	Not_significant
0.660825728645286	0.673286432966625	4.32001852420999	0.000705921075983126	0.16875679826773	-0.232180177308727	T66180	13225	Hs.724	Thyroid hormone receptor, alpha (erythroblastic leukemia viral (v-erb-a) oncogene homolog, avian)	THRA	THRA	Not_significant
-0.434166144968825	-0.453808155797197	-4.30412734913528	0.000727945270294623	0.16875679826773	-0.259292028836581	AA410440	3051	Hs.153863	SMAD family member 6	SMAD6	SMAD6	Not_significant
-0.43742329652901	-0.440025666358603	-4.28097481575431	0.000761302639994597	0.16875679826773	-0.298845889510672	AA083577	1737	Hs.660705	Transcribed locus	NA	AA083577	Not_significant
-0.680048904190136	-0.621715767902349	-4.313744792588	0.000761999870346701	0.16875679826773	-0.291306200377683	AA703125	6974	Hs.657370	Uronyl-2-sulfotransferase	UST	UST	Not_significant
0.715508360423384	0.697546210775196	4.27993473987131	0.000762837441943199	0.16875679826773	-0.300624232194559	AA634479	6482	Hs.591823	Hypothetical protein LOC340239	LOC340239	LOC340239	Not_significant
-0.531014532480597	-0.504779242954308	-4.28573958257472	0.000767001045433704	0.16875679826773	-0.303235542581189	R22625	11747	Hs.184298	Cyclin-dependent kinase 7 (MO15 homolog, Xenopus laevis, cdk-activating kinase)	CDK7	CDK7	Not_significant
-0.671210292873371	-0.67020380437028	-4.2955789346963	0.000788783501209618	0.16875679826773	-0.321788400168636	AA701550	6924	Hs.654865	Similar to RIKEN cDNA B230118G17 gene	MGC19604	MGC19604	Not_significant
1.0615030812404	1.07484949394666	4.29430714680713	0.000790694503262455	0.16875679826773	-0.323923978624943	AA453832	4275	Hs.37616	Stimulated by retinoic acid 13 homolog (mouse)	STRA13	STRA13	Not_significant
-0.612753884856113	-0.557038290350403	-4.27003872622614	0.000823972214289846	0.171008686508316	-0.3609818350474	AA167273	2257	Hs.158287	Syndecan 3	SDC3	SDC3	Not_significant
-0.437119586596221	-0.444745577613774	-4.23847065343496	0.00082668188480147	0.171008686508316	-0.371621967623991	N57594	10478	Hs.8769	Transmembrane protein 47	TMEM47	TMEM47	Not_significant
-0.455785345739985	-0.45997228991404	-4.21067197029785	0.000872529427006074	0.172996777492831	-0.419329898826814	H48472	8775	Hs.508829	CDC42 small effector 2	CDC42SE2	CDC42SE2	Not_significant
0.64253669220979	0.595096049867364	4.20037681872523	0.000890162937704021	0.172996777492831	-0.437020134130749	AA732917	7242	Hs.521922	Zinc finger protein 707	ZNF707	ZNF707	Not_significant
-0.553502303346433	-0.547689728617691	-4.21046599119344	0.000898700267638552	0.172996777492831	-0.441419996887961	AA071503	1720	Hs.356690	Hypothetical protein LOC728928	LOC728928	LOC728928	Not_significant
-0.484096146763363	-0.48091515401827	-4.18304402134592	0.000920679387137488	0.172996777492831	-0.466829379248356	N99243	11360	Hs.531085	T-box 2	TBX2	TBX2	Not_significant
0.508048148941964	0.512220309198384	4.18003668451668	0.000926082241836216	0.172996777492831	-0.472004763748816	AA875888	7611	Hs.518595	DNA segment on chromosome 4 (unique) 234 expressed sequence	D4S234E	D4S234E	Not_significant
-0.436996324195669	-0.445783733013368	-4.16329593102181	0.000956756864729956	0.172996777492831	-0.500831977821279	AA496576	1065	Hs.595173	Transcribed locus	NA	AA496576	Not_significant
0.563089717569212	0.556138627543069	4.16174384783751	0.000959652972221313	0.172996777492831	-0.50350614426624	T90462	13469	Hs.590961	Zinc finger protein 599	ZNF599	ZNF599	Not_significant
-0.535475651966896	-0.53410819981356	-4.16995699614832	0.000966605384478343	0.172996777492831	-0.50659154316435	AA873577	7606	Hs.409140	ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit (oligomycin sensitivity conferring protein)	ATP5O	ATP5O	Not_significant
-0.526174655860374	-0.511730081039487	-4.16737034497548	0.000969470086858226	0.172996777492831	-0.509500990298597	AA025850	1336	Hs.21213	Myosin VA (heavy chain 12, myoxin)	MYO5A	MYO5A	Not_significant
0.62026986026692	0.597012772621504	4.15623052208981	0.0009700132932596	0.172996777492831	-0.513007406865004	H85890	9327	Hs.268939	Matrin 3	MATR3	MATR3	Not_significant
-0.715443948480675	-0.68880531585144	-4.16750905178856	0.00100724622494874	0.172996777492831	-0.537813040704218	AA676268	6594	Hs.406788	RAB11 family interacting protein 4 (class II)	RAB11FIP4	RAB11FIP4	Not_significant
-0.573049095160573	-0.566741780636511	-4.14776703328486	0.0010256104629287	0.172996777492831	-0.556661454874506	AA447768	3966	Hs.352962	Hypothetical protein LOC285086	LOC285086	LOC285086	Not_significant
