NGenes	Direction	PValue	FDR	geneset
58	Down	0.420803570481324	0.716175307453792	KEGG_ADHERENS_JUNCTION
8	Down	0.44326295802093	0.738174932502596	KEGG_FOLATE_BIOSYNTHESIS
42	Down	0.451610373069404	0.738174932502596	KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM
13	Down	0.456264406971308	0.738174932502596	KEGG_DRUG_METABOLISM_OTHER_ENZYMES
6	Up	0.458738981915701	0.738174932502596	KEGG_GLYCOSAMINOGLYCAN_DEGRADATION
29	Down	0.460696359420506	0.738174932502596	KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION
152	Down	0.46091185073327	0.738174932502596	KEGG_MAPK_SIGNALING_PATHWAY
29	Down	0.462923262755865	0.738174932502596	KEGG_ARGININE_AND_PROLINE_METABOLISM
27	Down	0.470625888980143	0.743756985263261	KEGG_N_GLYCAN_BIOSYNTHESIS
20	Down	0.477697223967395	0.748251403913531	KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM
47	Down	0.491538921721791	0.763178852146992	KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION
51	Down	0.503457515670696	0.774886784988811	KEGG_GLIOMA
48	Down	0.518547843567764	0.791232485443916	KEGG_VIRAL_MYOCARDITIS
66	Down	0.525808141845262	0.794161308036684	KEGG_CHRONIC_MYELOID_LEUKEMIA
18	Up	0.529440872024456	0.794161308036684	KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM
45	Down	0.539821141660954	0.800233472986377	KEGG_NON_SMALL_CELL_LUNG_CANCER
44	Down	0.546363296862609	0.800233472986377	KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION
26	Down	0.547052261194077	0.800233472986377	KEGG_RNA_DEGRADATION
34	Down	0.555164943895015	0.803325500413013	KEGG_TYPE_II_DIABETES_MELLITUS
58	Down	0.561594028784454	0.803325500413013	KEGG_APOPTOSIS
11	Down	0.568701210379521	0.803325500413013	KEGG_GALACTOSE_METABOLISM
69	Down	0.570066954628332	0.803325500413013	KEGG_CALCIUM_SIGNALING_PATHWAY
5	Down	0.58367447646997	0.803325500413013	KEGG_LIMONENE_AND_PINENE_DEGRADATION
38	Down	0.590703002208225	0.803325500413013	KEGG_MTOR_SIGNALING_PATHWAY
37	Down	0.59658456608677	0.803325500413013	KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC
9	Up	0.610442923775701	0.803325500413013	KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM
7	Down	0.611156275763587	0.803325500413013	KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM
