ID	UG_CLUSTER	DESCRIPTION	DESCRIPTION_SUMMARY	GENE_SYMBOL	GB_ACC	SPOT_ID
1933	Hs.48348	Chromosome 15 open reading frame 41		C15orf41	AA130117	
1934	Hs.416755	"La ribonucleoprotein domain family, member 6"		LARP6	AA130193	
1935	Hs.267632	TATA element modulatory factor 1		TMF1	AA130228	
1936	Hs.594504	Optic atrophy 1 (autosomal dominant)	"This gene product is a nuclear-encoded mitochondrial protein with similarity to dynamin-related GTPases. It is a component of the mitochondrial network. Mutations in this gene have been associated with optic atrophy type 1, which is a dominantly inherited optic neuropathy resulting in progressive loss of visual acuity, leading in many cases to legal blindness. Eight transcript variants encoding different isoforms, resulting from alternative splicing of exon 4 and two novel exons named 4b and 5b, have been reported for this gene."	OPA1	AA130235	
1937	Hs.466814	Carcinoembryonic antigen-related cell adhesion molecule 5		CEACAM5	AA130584	
1938	Data not found			NA	AA130677	
1939	Hs.286145	SRB7 suppressor of RNA polymerase B homolog (yeast)		SURB7	AA130736	
1940	Hs.517949	Microtubule-associated protein 4	"The protein encoded by this gene is a major non-neuronal microtubule-associated protein. This protein contains a domain similar to the microtubule-binding domains of neuronal microtubule-associated protein (MAP2) and microtubule-associated protein tau (MAPT/TAU). This protein promotes microtubule assembly, and has been shown to counteract destabilization of interphase microtubule catastrophe promotion. Cyclin B was found to interact with this protein, which targets cell division cycle 2 (CDC2) kinase to microtubules. The phosphorylation of this protein affects microtubule properties and cell cycle progression. Multiple alternatively spliced transcript variants encoding distinct isoforms have been observed, the full-length nature of three of which are supported."	MAP4	AA130870	
1941	Hs.643786	Transcribed locus		NA	AA130874	
1942	Data not found			NA	AA130986	
1943	Data not found			NA	AA131237	
1944	Hs.199487	"RAS-like, estrogen-regulated, growth inhibitor"		RERG	AA131239	
1945	Data not found			NA	AA131267	
1946	Hs.660962	Transcribed locus		NA	AA131325	
1947	Hs.593168	"Homo sapiens, clone IMAGE:5547644, mRNA"		NA	AA131421	
1948	Hs.103822	Transcribed locus		NA	AA131450	
1949	Hs.478469	"Presenilin associated, rhomboid-like"		PARL	AA131464	
1950	Hs.133421	Leukemia inhibitory factor receptor alpha	"The leukemia inhibitory factor is a polyfunctional cytokine that affects the differentiation, survival, and proliferation of a wide variety of cells in the adult and the embryo. LIF action appears to be mediated through a high-affinity receptor complex composed of a low-affinity LIF binding chain (LIF receptor) and a high-affinity converter subunit, gp130. Both LIFR and gp130 are members of a family of cytokine receptors that includes components of the receptors for the majority of hematopoietic cytokines and for cytokines that affect other systems, including the ciliary neurotrophic factor, growth hormone and prolactin."	LIFR	AA131466	
1951	Hs.660963	Transcribed locus		NA	AA131512	
1952	Hs.651151	Hypothetical protein FLJ14668		FLJ14668	AA131526	
1953	Hs.184993	Transcribed locus		NA	AA131530	
1954	Hs.110470	Transcribed locus		NA	AA131571	
1955	Hs.593612	"ARTC1 mRNA, complete sequence"		NA	AA131572	
1956	Hs.259046	Chromosome 3 open reading frame 55		C3orf55	AA131576	
1957	Hs.632481	Proline/arginine-rich end leucine-rich repeat protein	"The protein encoded by this gene is a leucine-rich repeat protein present in connective tissue extracellular matrix. This protein functions as a molecule anchoring basement membranes to the underlying connective tissue. This protein has been shown to bind type I collagen to basement membranes and type II collagen to cartilage. It also binds the basement membrane heparan sulfate proteoglycan perlecan. This protein is suggested to be involved in the pathogenesis of Hutchinson-Gilford progeria (HGP), which is reported to lack the binding of collagen in basement membranes and cartilage. Alternatively spliced transcript variants encoding the same protein have been observed."	PRELP	AA131664	
1958	Hs.652855	MRNA; cDNA DKFZp586F1523 (from clone DKFZp586F1523)		NA	AA131678	
1959	Hs.266728	Dehydrogenase/reductase (SDR family) member 12		DHRS12	AA131681	
1960	Hs.285666	SH3 and PX domains 2B		SH3PXD2B	AA131692	
1961	Hs.130774	F-box protein 10	"Members of the F-box protein family, such as FBXO10, are characterized by an approximately 40-amino acid F-box motif. SCF complexes, formed by SKP1 (MIM 601434), cullin (see CUL1; MIM 603134), and F-box proteins, act as protein-ubiquitin ligases. F-box proteins interact with SKP1 through the F box, and they interact with ubiquitination targets through other protein interaction domains (Jin et al., 2004).[supplied by OMIM]"	FBXO10	AA131694	
1962	Hs.27608	Transcribed locus		NA	AA131707	
1963	Hs.464912	Hypothetical protein FLJ10656		P15RS	AA131760	
1964	Hs.61441	RNA binding motif protein 27		RBM27	AA131769	
1965	Hs.414952	Hypothetical protein LOC51057		LOC51057	AA131885	
1966	Hs.214368	Transcribed locus		NA	AA131921	
1967	Hs.654018	Transcribed locus		NA	AA132065	
1968	Hs.109752	Chromosome 6 open reading frame 108	"This gene was identified on the basis of its stimulation by c-Myc protein. The latter is a transcription factor that participates in the regulation of cell proliferation, differentiation, and apoptosis. The exact function of this gene is not known but studies in rat suggest a role in cellular proliferation and c-Myc-mediated transformation. Two alternative transcripts encoding different proteins have been described."	C6orf108	AA132086	
1969	Hs.436410	Transforming growth factor beta regulator 1		TBRG1	AA132185	
1970	Hs.381189	"Chromobox homolog 3 (HP1 gamma homolog, Drosophila)"	"At the nuclear envelope, the nuclear lamina and heterochromatin are adjacent to the inner nuclear membrane. The protein encoded by this gene binds DNA and is a component of heterochromatin. This protein also can bind lamin B receptor, an integral membrane protein found in the inner nuclear membrane. The dual binding functions of the encoded protein may explain the association of heterochromatin with the inner nuclear membrane. Two transcript variants encoding the same protein but differing in the 5' UTR, have been found for this gene."	CBX3	AA132330	
1971	Data not found			NA	AA132409	
1972	Data not found			NA	AA132524	
1973	Hs.458365	Ring finger protein 113A		RNF113A	AA132766	
1974	Hs.504920	Chromosome 20 open reading frame 177		C20orf177	AA132867	
1975	Hs.110915	"Interleukin 22 receptor, alpha 1"	"The protein encoded by this gene belongs to the class II cytokine receptor family, and has been shown to be a receptor for interleukin 22 (IL22). IL22 receptor is a protein complex that consists of this protein and interleukin 10 receptor, beta (IL10BR/CRFB4), a subunit also shared by the receptor complex for interleukin 10 (IL10). This gene and interleukin 28 receptor, alpha (IL28RA) form a cytokine receptor gene cluster in the chromosomal region 1p36."	IL22RA1	AA132964	
1976	Data not found			NA	AA133155	
1977	Hs.497581	Ligatin	"This gene encodes a protein receptor that localizes phosphoglycoproteins within endosomes and at the cell periphery. This trafficking receptor for phosphoglycoproteins may play a role in neuroplasticity by modulating cell-cell interactions, intracellular adhesion, and protein binding at membrane surfaces. In hippocampal neurons, long-lasting down-regulation of ligatin mRNA levels occurs via post-transcriptional RNA processing following glutamate receptor activation. This protein contains single PUA and SUI1 domains and these domains may function in RNA binding and translation initiation, respectively."	LGTN	AA133165	
1978	Hs.71215	"Docking protein 2, 56kDa"	"The protein encoded by this gene is constitutively tyrosine phosphorylated in hematopoietic progenitors isolated from chronic myelogenous leukemia (CML) patients in the chronic phase. It may be a critical substrate for p210(bcr/abl), a chimeric protein whose presence is associated with CML. This encoded protein binds p120 (RasGAP) from CML cells. Two alternatively spliced transcript variants encoding different isoforms have been described for this gene."	DOK2	AA133189	
1979	Hs.146602	"Ubiquinol-cytochrome c reductase, complex III subunit VII, 9.5kDa"	"This gene encodes a ubiquinone-binding protein of low molecular mass.  This function of this protein has not yet been determined; however, it is a homologue of bovine low molecular mass ubiquinone-binding protein gene."	UQCRQ	AA133191	
1980	Hs.143046	Coronin 6		CORO6	AA133194	
1981	Hs.29169	HSPB (heat shock 27kDa) associated protein 1		HSPBAP1	AA133208	
1982	Hs.643658	Nuclear receptor coactivator 4		NCOA4	AA133212	
1983	Hs.591829	"CTAGE family, member 4"		CTAGE4	AA133214	
1984	Hs.476179	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 1"	"The protein encoded by this gene is a member of the SWI/SNF family of proteins, whose members display helicase and ATPase activities and which are thought to regulate transcription of certain genes by altering the chromatin structure around those genes. The encoded protein is part of the large ATP-dependent chromatin remodeling complex SNF/SWI and contains a predicted leucine zipper motif typical of many transcription factors."	SMARCC1	AA133216	
1985	Hs.303090	"Protein phosphatase 1, regulatory (inhibitor) subunit 3C"	"Protein phosphatase-1 (PP1; see MIM 176875) participates in the regulation of a wide variety of cellular functions by reversible protein phosphorylation. The ability of PP1 to regulate diverse functions resides in its capacity to interact with a variety of regulatory subunits that may target PP1 to specific subcellular locations, modulate its substrate specificity, and allow its activity to be responsive to extracellular signals. Several targeting subunits of PP1 have been identified, including PPP1R5, the glycogen-binding subunits PPP1R3 (MIM 600917) and PPP1R4, and the nuclear inhibitor of PP1 (PPP1R8; MIM 602636).[supplied by OMIM]"	PPP1R3C	AA133278	
1986	Hs.489254	Tripartite motif-containing 69	"This gene is specifically expressed in germ cells at round spermatid stages during spermatogenesis. The protein encoded by this gene contains an N-terminal RING finger motif, a B-box, and a C-terminal B-30.2-like domain. When overexpressed in COS-7 and HEK-293 cells, this protein was shown to induce cell apoptosis. Alternatively spliced transcript variants encoding distinct isoforms have been described."	TRIM69	AA133281	
1987	Hs.593612	"ARTC1 mRNA, complete sequence"		NA	AA133296	
1988	Hs.435295	Triggering receptor expressed on myeloid cells 2		TREM2	AA133297	
1989	Hs.189690	Zinc finger protein 182		ZNF182	AA133309	
1990	Data not found			NA	AA133482	
1991	Hs.16184	RAD17 homolog (S. pombe)	"The protein encoded by this gene is highly similar to the gene product of Schizosaccharomyces pombe rad17, a cell cycle checkpoint gene required for cell cycle arrest and DNA damage repair in response to DNA damage. This protein shares strong similarity with DNA replication factor C (RFC), and can form a complex with RFCs. This protein binds to chromatin prior to DNA damage and is phosphorylated by ATR after the damage. This protein recruits the RAD1-RAD9-HUS1 checkpoint protein complex onto chromatin after DNA damage, which may be required for its phosphorylation. The phosphorylation of this protein is required for the DNA-damage-induced cell cycle G2 arrest, and is thought to be a critical early event during checkpoint signaling in DNA-damaged cells. Eight alternatively spliced transcript variants of this gene, which encode four distinct proteins, have been reported."	RAD17	AA133548	
1992	Hs.155651	Forkhead box A2	"This gene encodes a member of the forkhead class of DNA-binding proteins. These hepatocyte nuclear factors are transcriptional activators for liver-specific transcripts such as albumin and transthyretin, and they also interact with chromatin. Similar family members in mice have roles in the regulation of metabolism and in the differentiation of the pancreas and liver. This gene has been linked to sporadic cases of maturity-onset diabetes of the young. Two transcript variants encoding the same protein have been identified for this gene."	FOXA2	AA133554	
1993	Hs.77100	"General transcription factor IIE, polypeptide 2, beta 34kDa"		GTF2E2	AA133566	
1994	Hs.631639	Small nuclear ribonucleoprotein polypeptide G		SNRPG	AA133577	
1995	Hs.26333	Coiled-coil domain containing 22		CCDC22	AA133584	
1996	Hs.221873	Potassium channel tetramerisation domain containing 15		KCTD15	AA133665	
1997	Data not found			NA	AA133679	
1998	Hs.173288	"Ctr9, Paf1/RNA polymerase II complex component, homolog (S. cerevisiae)"		CTR9	AA133684	
1999	Hs.458360	Uridine-cytidine kinase 2	"The protein encoded by this gene catalyzes the phosphorylation of uridine monophosphate to uridine diphosphate. This is the first step in the production of the pyrimidine nucleoside triphosphates required for RNA and DNA synthesis. In addition, an allele of this gene may play a role in mediating nonhumoral immunity to Hemophilus influenzae type B."	UCK2	AA133778	
2000	Hs.655651	Chromosome 5 open reading frame 21		C5orf21	AA133896	
2001	Hs.1905	Prolactin		PRL	AA133920	
2002	Hs.481466	Transcribed locus		NA	AA133959	
2003	Hs.406787	F-box protein 3	"This gene encodes a member of the F-box protein family which is characterized by an approximately 40 amino acid motif, the F-box. The F-box proteins constitute one of the four subunits of the ubiquitin protein ligase complex called SCFs (SKP1-cullin-F-box), which function in phosphorylation-dependent ubiquitination. The F-box proteins are divided into 3 classes: Fbws containing WD-40 domains, Fbls containing leucine-rich repeats, and Fbxs containing either different protein-protein interaction modules or no recognizable motifs. The protein encoded by this gene belongs to the Fbxs class. Alternative splicing of this gene generates 2 transcript variants diverging at the 3' end."	FBXO3	AA134111	
2004	Hs.341729	Transcribed locus		NA	AA134413	
2005	Hs.383019	MAX-like protein X	"The product of this gene belongs to the family of basic helix-loop-helix leucine zipper (bHLH-Zip) transcription factors. These factors form heterodimers with Mad proteins and play a role in proliferation, determination and differentiation. This gene product may act to diversify Mad family function by its restricted association with a subset of the Mad family of transcriptional repressors, namely, Mad1 and Mad4. Alternatively spliced transcript variants encoding different isoforms have been identified for this gene."	MLX	AA134555	
2006	Hs.555016	"RAB23, member RAS oncogene family"	"The protein encoded by this gene belongs to the small GTPase superfamily, Rab family. It may be involved in small GTPase mediated signal transduction and intracellular protein transportation. Alternative splicing occurs at this locus and two transcript variants encoding the same protein have been identified."	RAB23	AA134570	
2007	Hs.370666	Forkhead box O1A (rhabdomyosarcoma)	"This gene belongs to the forkhead family of transcription factors which are characterized by a distinct forkhead domain.  The specific function of this gene has not yet been determined; however, it may play a role in myogenic growth and differentiation. Translocation of this gene with PAX3 has been associated with alveolar rhabdomyosarcoma."	FOXO1A	AA134749	
2008	Hs.631975	"Solute carrier family 30 (zinc transporter), member 5"		SLC30A5	AA134753	
2009	Hs.514802	Transcribed locus		NA	AA134771	
2010	Hs.109999	Integrin beta 1 binding protein (melusin) 2		ITGB1BP2	AA134809	
2011	Hs.556496	TRAF family member-associated NFKB activator	"The TRAF (tumor necrosis factor receptor-associated factor) family of proteins associate with and transduce signals from members of the tumor necrosis factor receptor superfamily. The protein encoded by this gene is found in the cytoplasm and can bind to TRAF1, TRAF2, or TRAF3, thereby inhibiting TRAF function by sequestering the TRAFs in a latent state in the cytoplasm. For example, the protein encoded by this gene can block TRAF2 binding to LMP1, the Epstein-Barr virus transforming protein, and inhibit LMP1-mediated NF-kappa-B activation. Two transcript variants encoding different isoforms have been found for this gene."	TANK	AA134814	
2012	Hs.4865	"Sodium channel, voltage-gated, type III, beta"	"Voltage-sensitive sodium channel beta subunits, such as SCN3B, are auxiliary components that regulate the ion-conducting alpha subunits.[supplied by OMIM]"	SCN3B	AA134824	
2013	Hs.24601	Fibulin 1	"Fibulin 1 is a secreted glycoprotein that becomes incorporated into a fibrillar extracellular matrix. Calcium-binding is apparently required to mediate its binding to laminin and nidogen. It mediates platelet adhesion via binding fibrinogen. Four splice variants which differ in the 3' end have been identified. Each variant encodes a different isoform, but no functional distinctions have been identified among the four variants."	FBLN1	AA134871	
2014	Hs.150458	RNA pseudouridylate synthase domain containing 4		RPUSD4	AA135222	
2015	Hs.2704	Glutathione peroxidase 2 (gastrointestinal)	"This gene is a member of the glutathione peroxidase family and encodes a selenium-dependent glutathione peroxidase that is one of two isoenzymes responsible for the majority of the glutathione-dependent hydrogen peroxide-reducing activity in the epithelium of the gastrointestinal tract. Studies in knockout mice indicate that mRNA expression levels respond to luminal microflora, suggesting a role of the ileal glutathione peroxidases in preventing inflammation in the GI tract."	GPX2	AA135289	
2016	Hs.597962	Transcribed locus		NA	AA135722	
2017	Hs.594876	CDNA clone IMAGE:4813920		NA	AA135748	
2018	Hs.597144	Transcribed locus		NA	AA135809	
2019	Hs.594338	Chromosome 14 open reading frame 32		C14orf32	AA135813	
2020	Hs.267446	Hypothetical protein FLJ11184		FLJ11184	AA135824	
2021	Data not found			NA	AA135868	
2022	Hs.655583	"Papilin, proteoglycan-like sulfated glycoprotein"		PAPLN	AA135886	
2023	Hs.652476	"Transcribed locus, weakly similar to NP_001037893.1 1 [Xenopus tropicalis]"		NA	AA135929	
2024	Hs.1600	"Chaperonin containing TCP1, subunit 5 (epsilon)"	"This gene encodes a molecular chaperone that is member of the chaperonin containing TCP1 complex (CCT), also known as the TCP1 ring complex (TRiC). This complex consists of two identical stacked rings, each containing eight different proteins. Unfolded polypeptides enter the central cavity of the complex and are folded in an ATP-dependent manner. The complex folds various proteins, including actin and tubulin. Alternate transcriptional splice variants of this gene have been observed but have not been thoroughly characterized."	CCT5	AA136022	
2025	Data not found			NA	AA136042	
2026	Hs.118262	"Calcium channel, voltage-dependent, L type, alpha 1C subunit"	"This gene encodes an alpha-1 subunit of a voltage-dependent calcium channel. Calcium channels mediate the influx of calcium ions into the cell upon membrane polarization. The alpha-1 subunit consists of 24 transmembrane segments and forms the pore through which ions pass into the cell. The calcium channel consists of a complex of alpha-1, alpha-2/delta, beta, and gamma subunits in a 1:1:1:1 ratio. There are multiple isoforms of each of these proteins, either encoded by different genes or the result of alternative splicing of transcripts. The protein encoded by the gene described in this record binds to and is inhibited by dihydropyridine. Many alternate transcriptional splice variants of this gene have been observed but have not been thoroughly characterized."	CACNA1C	AA136049	
2027	Hs.387567	ATP citrate lyase	"ATP citrate lyase is the primary enzyme responsible for the synthesis of cytosolic acetyl-CoA in many tissues. The enzyme is a tetramer (relative molecular weight approximately 440,000) of apparently identical subunits. It catalyzes the formation of acetyl-CoA and oxaloacetate from citrate and CoA with a concomitant hydrolysis of ATP to ADP and phosphate. The product, acetyl-CoA, serves several important biosynthetic pathways, including lipogenesis and cholesterogenesis. In nervous tissue, ATP citrate-lyase may be involved in the biosynthesis of acetylcholine. Two transcript variants encoding distinct isoforms have been identified for this gene."	ACLY	AA136054	
2028	Hs.500512	Polycomb group ring finger 5		PCGF5	AA136060	
2029	Data not found			NA	AA136125	
2030	Hs.148609	Chromosome 6 open reading frame 157		C6orf157	AA136213	
2031	Hs.164060	Growth factor receptor-bound protein 10	The product of this gene belongs to a small family of adapter proteins that are known to interact with a number of receptor tyrosine kinases and signaling molecules. This gene encodes a growth factor receptor-binding protein that interacts with insulin receptors and insulin-like growth-factor receptors. Overexpression of some isoforms of the encoded protein inhibits tyrosine kinase activity and results in growth suppression. This gene is imprinted in a highly isoform- and tissue-specific manner. Alternatively spliced transcript variants encoding different isoforms have been identified.	GRB10	AA136336	
2032	Hs.34341	CD58 molecule		CD58	AA136359	
2033	Hs.592286	Testis derived transcript (3 LIM domains)	"Cancer-associated chromosomal changes often involve regions containing fragile sites. This gene maps to a commom fragile site on chromosome 7q31.2 designated FRA7G. This gene is similar to mouse Testin, a testosterone-responsive gene encoding a Sertoli cell secretory protein containing three LIM domains. LIM domains are double zinc-finger motifs that mediate protein-protein interactions between transcription factors, cytoskeletal proteins and signaling proteins. Multiple protein isoforms are encoded by transcript variants of this gene."	TES	AA136529	
2034	Hs.533903	"Solute carrier family 30 (zinc transporter), member 7"		SLC30A7	AA136532	
2035	Hs.598405	Transcribed locus		NA	AA136541	
2036	Hs.162585	"Solute carrier family 12 (sodium/potassium/chloride transporters), member 2"		SLC12A2	AA136565	
2037	Data not found			NA	AA136612	
2038	Hs.12420	PHD finger protein 17		PHF17	AA136664	
2039	Hs.71657	Transcribed locus		NA	AA136699	
2040	Hs.477866	"Procollagen-lysine, 2-oxoglutarate 5-dioxygenase 2"	The protein encoded by this gene is a membrane-bound homodimeric enzyme that is localized to the cisternae of the rough endoplasmic reticulum. The enzyme (cofactors iron and ascorbate) catalyzes the hydroxylation of lysyl residues in collagen-like peptides. The resultant hydroxylysyl groups are attachment sites for carbohydrates in collagen and thus are critical for the stability of intermolecular crosslinks. Some patients with Ehlers-Danlos syndrome type VIB have deficiencies in lysyl hydroxylase activity. Mutations in the coding region of this gene are associated with Bruck syndrome. Alternative splicing results in multiple transcript variants encoding different isoforms.	PLOD2	AA136707	
2041	Hs.268849	Glyoxalase I	"The enzyme encoded by this gene is responsible for the catalysis and formation of S-lactoyl-glutathione from methylglyoxal condensation and reduced glutatione.  Glyoxalase I is linked to HLA and is localized to 6p21.3-p21.1, between HLA and the centromere."	GLO1	AA136710	
2042	Hs.470316	"Activin A receptor, type I"	"Activins are dimeric growth and differentiation factors which belong to the transforming growth factor-beta (TGF-beta) superfamily of structurally related signaling proteins. Activins signal through a heteromeric complex of receptor serine kinases which include at least two type I ( I and IB) and two type II (II and IIB) receptors. These receptors are all transmembrane proteins, composed of a ligand-binding extracellular domain with cysteine-rich region, a transmembrane domain, and a cytoplasmic domain with predicted serine/threonine specificity. Type I receptors are essential for signaling; and type II receptors are required for binding ligands and for expression of type I receptors. Type I and II receptors form a stable complex after ligand binding, resulting in phosphorylation of type I receptors by type II receptors. This gene encodes activin A type I receptor which signals a particular transcriptional response in concert with activin type II receptors."	ACVR1	AA136910	
2043	Hs.116471	"Cadherin 11, type 2, OB-cadherin (osteoblast)"	"This gene encodes a type II classical cadherin from the cadherin superfamily, integral membrane proteins that mediate calcium-dependent cell-cell adhesion. Mature cadherin proteins are composed of a large N-terminal extracellular domain, a single membrane-spanning domain, and a small, highly conserved C-terminal cytoplasmic domain. Type II (atypical) cadherins are defined based on their lack of a HAV cell adhesion recognition sequence specific to type I cadherins. Expression of this particular cadherin in osteoblastic cell lines, and its upregulation during differentiation, suggests a specific function in bone development and maintenance. Two splice variants have been identified, one of which encodes an isoform with a truncated cytoplasmic domain."	CDH11	AA136983	
2044	Hs.442702	"CDNA FLJ26096 fis, clone SLV00701"		NA	AA137056	
2045	Hs.655808	"Protein tyrosine phosphatase, receptor type, S"	"The protein encoded by this gene is a member of the protein tyrosine phosphatase (PTP) family. PTPs are known to be signaling molecules that regulate a variety of cellular processes including cell growth, differentiation, mitotic cycle, and oncogenic transformation. This PTP contains an extracellular region, a single transmembrane segment and two tandem intracytoplasmic catalytic domains, and thus represents a receptor-type PTP. The extracellular region of this protein is composed of multiple Ig-like and fibronectin type III-like domains. Studies of the similar gene in mice suggested that this PTP may be involved in cell-cell interaction, primary axonogenesis, and axon guidance during embryogenesis. This PTP has been also implicated in the molecular control of adult nerve repair. Four alternatively spliced transcript variants, which encode distinct proteins, have been reported."	PTPRS	AA137072	
2046	Hs.655610	"CDNA: FLJ23131 fis, clone LNG08502"		NA	AA137073	
2047	Hs.658980	Transcribed locus		NA	AA137078	
2048	Hs.440414	"Spastic paraplegia 20, spartin (Troyer syndrome)"	"This gene encodes a protein that contains a MIT (Microtubule Interacting and Trafficking molecule) domain. This protein may be involved in endosomal trafficking, microtubule dynamics, or both functions. Mutations associated with this gene cause autosomal recessive spastic paraplegia 20 (Troyer syndrome)."	SPG20	AA137196	
2049	Hs.317593	Transmembrane and coiled-coil domains 3		TMCO3	AA137198	
2050	Hs.44693	"Muskelin 1, intracellular mediator containing kelch motifs"		MKLN1	AA137228	
2051	Hs.388400	"Solute carrier family 2 (facilitated glucose transporter), member 3 pseudogene 1"		SLC2A3P1	AA137260	
2052	Hs.431092	"Protein phosphatase 4, regulatory subunit 2"		PPP4R2	AA137264	
2053	Hs.632458	Nuclear casein kinase and cyclin-dependent kinase substrate 1		NUCKS1	AA137266	
2054	Data not found			NA	AA142842	
2055	Hs.569730	Full-length cDNA clone CS0DF026YC07 of Fetal brain of Homo sapiens (human)		NA	AA142869	
2056	Hs.85862	PDZ and LIM domain 3		PDLIM3	AA142875	
2057	Hs.531371	Claudin domain containing 1		CLDND1	AA142888	
2058	Hs.310458	Tetraspanin 2	"The protein encoded by this gene is a member of the transmembrane 4 superfamily, also known as the tetraspanin family. Most of these members are cell-surface proteins that are characterized by the presence of four hydrophobic domains. The proteins mediate signal transduction events that play a role in the regulation of cell development, activation, growth and motility."	TSPAN2	AA142919	
2059	Hs.269909	Chromosome 14 open reading frame 147		C14orf147	AA142942	
2060	Hs.103854	"Docking protein 1, 62kDa (downstream of tyrosine kinase 1)"	"Docking protein 1 is constitutively tyrosine phosphorylated in hematopoietic progenitors isolated from chronic myelogenous leukemia (CML) patients in the chronic phase.  It may be a critical substrate for p210(bcr/abl), a chimeric protein whose presence is associated with CML.  Docking protein 1 contains a putative pleckstrin homology domain at the amino terminus and ten PXXP SH3 recognition motifs.  Docking protein 2 binds p120 (RasGAP) from CML cells.  It has been postulated to play a role in mitogenic signaling."	DOK1	AA142943	
2061	Hs.483036	"Praja 2, RING-H2 motif containing"		PJA2	AA142966	
2062	Hs.571177	"Synaptotagmin binding, cytoplasmic RNA interacting protein"		SYNCRIP	AA142968	
2063	Hs.279837	Glutathione S-transferase M2 (muscle)	"Cytosolic and membrane-bound forms of glutathione S-transferase are encoded by two distinct supergene families. At present, eight distinct classes of the soluble cytoplasmic mammalian glutathione S-transferases have been identified: alpha, kappa, mu, omega, pi, sigma, theta and zeta. This gene encodes a glutathione S-transferase that belongs to the mu class. The mu class of enzymes functions in the detoxification of electrophilic compounds, including carcinogens, therapeutic drugs, environmental toxins and products of oxidative stress, by conjugation with glutathione. The genes encoding the mu class of enzymes are organized in a gene cluster on chromosome 1p13.3 and are known to be highly polymorphic. These genetic variations can change an individual's susceptibility to carcinogens and toxins as well as affect the toxicity and efficacy of certain drugs."	GSTM2	AA142971	
2064	Hs.658046	Ventricular zone expressed PH domain homolog 1 (zebrafish)		VEPH1	AA143070	
2065	Hs.83169	Matrix metallopeptidase 1 (interstitial collagenase)	"Proteins of the matrix metalloproteinase (MMP) family are involved in the breakdown of extracellular matrix in normal physiological processes, such as embryonic development, reproduction, and tissue remodeling, as well as in disease processes, such as arthritis and metastasis. Most MMP's are secreted as inactive proproteins which are activated when cleaved by extracellular proteinases. This gene encodes a secreted enzyme which breaks down the interstitial collagens, types I, II, and III. The gene is part of a cluster of MMP genes which localize to chromosome 11q22.3."	MMP1	AA143201	
2066	Hs.15114	"Ras homolog gene family, member D"	"Ras homolog, or Rho, proteins interact with protein kinases and may serve as targets for activated GTPase. They play a critical role in muscle differentiation. The protein encoded by this gene binds GTP and is a member of the small GTPase superfamily. It is involved in endosome dynamics and reorganization of the actin cytoskeleton, and it may coordinate membrane transport with the function of the cytoskeleton."	RHOD	AA143436	
2067	Hs.592184	Vacuolar protein sorting 41 homolog (S. cerevisiae)	"Vesicle mediated protein sorting plays an important role in segregation of intracellular molecules into distinct organelles. Genetic studies in yeast have identified more than 40 vacuolar protein sorting (VPS) genes involved in vesicle transport to vacuoles. This gene encodes the human ortholog of yeast Vps41 protein which is also conserved in Drosophila, tomato, and Arabidopsis. Expression studies in yeast and human indicate that this protein may be involved in the formation and fusion of transport vesicles from the Golgi. Several transcript variants encoding different isoforms have been described for this gene, however, the full-length nature of not all is known."	VPS41	AA143559	
2068	Hs.631995	"Solute carrier family 39 (zinc transporter), member 7"	"Zinc is an essential cofactor for more than 50 classes of enzymes. It is involved in protein, nucleic acid, carbohydrate, and lipid metabolism, as well as in the control of gene transcription, growth, development, and differentiation. Zinc cannot passively diffuse across cell membranes and requires specific transporters, such as SLC39A7, to enter the cytosol from both the extracellular environment and from intracellular storage compartments.[supplied by OMIM]"	SLC39A7	AA143649	
2069	Hs.661003	Transcribed locus		NA	AA143802	
2070	Hs.552835	RNA terminal phosphate cyclase domain 1		RTCD1	AA146802	
2071	Hs.149261	Runt-related transcription factor 1 (acute myeloid leukemia 1; aml1 oncogene)	Core binding factor (CBF) is a heterodimeric transcription factor that binds to the core element of many enhancers and promoters. The protein encoded by this gene represents the alpha subunit of CBF and is thought to be involved in the development of normal hematopoiesis. Chromosomal translocations involving this gene are well-documented and have been associated with several types of leukemia. Two transcript variants encoding different isoforms have been found for this gene.	RUNX1	AA146826	
2072	Hs.23585	Calmodulin regulated spectrin-associated protein 1-like 1		CAMSAP1L1	AA146963	
2073	Hs.534255	Beta-2-microglobulin		B2M	AA146979	
2074	Data not found			NA	AA147044	
2075	Hs.459211	A kinase (PRKA) anchor protein 13	"The A-kinase anchor proteins (AKAPs) are a group of structurally diverse proteins, which have the common function of binding to the regulatory subunit of protein kinase A (PKA) and confining the holoenzyme to discrete locations within the cell. This gene encodes a member of the AKAP family. Alternative splicing of this gene results in at least 3 transcript variants encoding different isoforms containing a dbl oncogene homology (DH) domain and a pleckstrin homology (PH) domain. The DH domain is associated with guanine nucleotide exchange activation for the Rho/Rac family of small GTP binding proteins, resulting in the conversion of the inactive GTPase to the active form capable of transducing signals. The PH domain has multiple functions. Therefore, these isoforms function as scaffolding proteins to coordinate a Rho signaling pathway and, in addition, function as protein kinase A-anchoring proteins."	AKAP13	AA147202	
