ID	UG_CLUSTER	DESCRIPTION	DESCRIPTION_SUMMARY	GENE_SYMBOL	GB_ACC	SPOT_ID
6182	Hs.528007	U2 small nuclear RNA auxiliary factor 2	"U2 auxiliary factor (U2AF), comprised of a large and a small subunit, is a non-snRNP protein required for the binding of U2 snRNP to the pre-mRNA branch site. This gene encodes the U2AF large subunit which contains a sequence-specific RNA-binding region with 3 RNA recognition motifs and an Arg/Ser-rich domain necessary for splicing. The large subunit binds to the polypyrimidine tract of introns early during spliceosome assembly. Multiple transcript variants have been detected for this gene, but the full-length natures of only two have been determined to date."	U2AF2	AA620672	
6183	Hs.538201	Transcribed locus		NA	AA620682	
6184	Hs.546096	"Similar to G antigen, family D, 2 isoform 1c"		LOC728266	AA620697	
6185	Hs.479954	Methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2-like		MTHFD2L	AA620707	
6186	Hs.632765	Gamma-glutamyltransferase-like 4		GGTL4	AA620715	
6187	Hs.112889	Transcribed locus		NA	AA620717	
6188	Hs.112890	Transcribed locus		NA	AA620724	
6189	Data not found			NA	AA620726	
6190	Hs.541596	Transcribed locus		NA	AA620741	
6191	Hs.227656	Xenotropic and polytropic retrovirus receptor		XPR1	AA620742	
6192	Hs.600634	Transcribed locus		NA	AA620746	
6193	Hs.664090	"Transcribed locus, strongly similar to XP_001159560.1 tumor differentially expressed 2-like [Pan troglodytes]"		NA	AA620747	
6194	Hs.600635	Transcribed locus		NA	AA620755	
6195	Hs.524431	"Olfactory receptor, family 7, subfamily E, member 47 pseudogene"	"Olfactory receptors interact with odorant molecules in the nose, to initiate a neuronal response that triggers the perception of a smell. The olfactory receptor proteins are members of a large family of G-protein-coupled receptors (GPCR) arising from single coding-exon genes. Olfactory receptors share a 7-transmembrane domain structure with many neurotransmitter and hormone receptors and are responsible for the recognition and G protein-mediated transduction of odorant signals. The olfactory receptor gene family is the largest in the genome. The nomenclature assigned to the olfactory receptor genes and proteins for this organism is independent of other organisms."	OR7E47P	AA620759	
6196	Hs.633241	Transcribed locus		NA	AA620760	
6197	Hs.600636	Transcribed locus		NA	AA620783	
6198	Data not found			NA	AA620794	
6199	Hs.201921	Suppression of tumorigenicity 7 like	"This gene was identified by its similarity to the ST7 tumor suppressor gene found in the chromosome 7q31 region. This gene is clustered in a tail-to-tail manner with the WNT2B gene in a chromosomal region known to be deleted and rearranged in a variety of cancers. The function of this gene has not yet been determined. Several transcript variants encoding many different isoforms have been described, but some have not been fully characterized."	ST7L	AA620802	
6200	Hs.238964	Hypothetical gene supported by BC008048		LOC440934	AA620811	
6201	Hs.112910	Transcribed locus		NA	AA620817	
6202	Hs.634512	Transcribed locus		NA	AA620821	
6203	Hs.575887	Transcribed locus		NA	AA620828	
6204	Hs.531388	CDNA clone IMAGE:6614723		NA	AA620829	
6205	Hs.253319	"Phosphatidylinositol glycan anchor biosynthesis, class U"	"The protein encoded by this gene shares similarity with Saccharomyces cerevisiae Cdc91, a predicted integral membrane protein that may function in cell division control. The protein encoded by this gene is the fifth subunit of GPI transamidase that attaches GPI-anchors to proteins."	PIGU	AA620831	
6206	Hs.253320	Acyl-Coenzyme A oxidase-like		ACOXL	AA620835	
6207	Hs.404807	Hypothetical protein LOC348761		LOC348761	AA620858	
6208	Hs.183428	Sarcospan (Kras oncogene-associated gene)	"SSPN gene is expressed in a variety of tissues with highest levels in muscle, where alternative splice variants have been observed. In certain tumors KRAS2, SSPN, and ITPR2 are coamplified. The function of this gene is unknown."	SSPN	AA620859	
6209	Hs.664095	Transcribed locus		NA	AA620873	
6210	Hs.664089	Transcribed locus		NA	AA620877	
6211	Data not found			NA	AA620887	
6212	Hs.571148	Dystrobrevin binding protein 1	"This gene encodes a protein that may play a role in organelle biogenesis associated with melanosomes, platelet dense granules, and lysosomes. A similar protein in mouse is a component of a protein complex termed biogenesis of lysosome-related organelles complex 1 (BLOC-1), and binds to alpha- and beta-dystrobrevins, which are components of the dystrophin-associated protein complex (DPC). Mutations in this gene are associated with Hermansky-Pudlak syndrome type 7. This gene may also be associated with schizophrenia. Multiple transcript variants encoding distinct isoforms have been identified for this gene."	DTNBP1	AA620896	
6213	Hs.664100	Transcribed locus		NA	AA620927	
6214	Hs.446020	Transcribed locus		NA	AA620973	
6215	Hs.189183	Hypothetical protein MGC33600		RP11-444E17.2	AA620975	
6216	Hs.286233	Sperm autoantigenic protein 17	This gene encodes a protein present at the cell surface. Studies in rabbit suggest that in sperm the protein is involved in fertilization by binding to the zona pellucida of the oocyte. Other studies in rabbit suggest that it is also involved in additional cell-cell adhesion functions such as immune cell migration and metastasis.	SPA17	AA620983	
6217	Hs.567424	Fas apoptotic inhibitory molecule 2		FAIM2	AA620986	
6218	Hs.449777	Similar to taste receptor protein 1		LOC730054	AA620987	
6219	Hs.112930	Chromosome 12 open reading frame 50		C12orf50	AA620994	
6220	Hs.112242	Chromosome 15 open reading frame 48	"This gene was identified by its low or completely missing expression in esophageal squamous cell carcinomas. Normal expression of the gene occurs in the esophagus, stomach, small intestine, colon and placenta. Alternatively spliced transcript variants that encode the same protein have been identified."	C15orf48	AA620995	
6221	Hs.652155	Leucine rich repeat transmembrane neuronal 3		LRRTM3	AA621001	
6222	Hs.112932	Transcribed locus		NA	AA621004	
6223	Hs.438550	"Non-SMC condensin II complex, subunit D3"		NCAPD3	AA621031	
6224	Hs.664104	Transcribed locus		NA	AA621037	
6225	Hs.634517	Transcribed locus		NA	AA621046	
6226	Hs.664105	MRNA; cDNA DKFZp761E2423 (from clone DKFZp761E2423)		NA	AA621047	
6227	Hs.559356	Transcribed locus		NA	AA621062	
6228	Hs.112943	Transcribed locus		NA	AA621065	
6229	Hs.467981	"Solute carrier family 30 (zinc transporter), member 3"		SLC30A3	AA621201	
6230	Hs.7946	Mitochondrial tumor suppressor 1	This gene encodes a protein which contains a C-terminal domain able to interact with the angiotension II (AT2) receptor and a large coiled-coil region allowing dimerization. Multiple alternatively spliced transcript variants encoding different isoforms have been found for this gene. One of the transcript variants has been shown to encode a mitochondrial protein that acts as a tumor suppressor and partcipates in AT2 signaling pathways. Other variants may encode nuclear or transmembrane proteins but it has not been determined whether they also participate in AT2 signaling pathways.	MTUS1	AA621202	
6231	Hs.12068	Carnitine acetyltransferase	"Carnitine acetyltransferase (CRAT) is a key enzyme in the metabolic pathway in mitochondria, peroxisomes and endoplasmic reticulum. CRAT catalyzes the reversible transfer of acyl groups from an acyl-CoA thioester to carnitine and regulates the ratio of acylCoA/CoA in the subcellular compartments. Different subcellular localizations of the CRAT mRNAs are thought to result from alternative splicing of the CRAT gene suggested by the divergent sequences in the 5' region of peroxisomal and mitochondrial CRAT cDNAs and the location of an intron where the sequences diverge. The alternatively splicing of this gene results in three distinct isoforms, one of which contains an N-terminial mitochondrial transit peptide, and has been shown to be located in mitochondria."	CRAT	AA621218	
6232	Hs.112954	Transcribed locus		NA	AA621224	
6233	Hs.591379	"DOT1-like, histone H3 methyltransferase (S. cerevisiae)"		DOT1L	AA621291	
6234	Hs.112968	Forkhead box E3		FOXE3	AA621310	
6235	Hs.652240	Chromosome 10 open reading frame 130		C10orf130	AA621323	
6236	Hs.600653	Transcribed locus		NA	AA621324	
6237	Hs.439524	TRNA 5-methylaminomethyl-2-thiouridylate methyltransferase		TRMU	AA621329	
6238	Data not found			NA	AA621332	
6239	Hs.653125	Coiled-coil domain containing 91		CCDC91	AA621335	
6240	Data not found			NA	AA621339	
6241	Hs.517768	Brain protein 44		BRP44	AA621342	
6242	Hs.664113	Transcribed locus		NA	AA621355	
6243	Hs.546627	Potassium channel tetramerisation domain containing 7		KCTD7	AA621367	
6244	Hs.634519	Transcribed locus		NA	AA621370	
6245	Hs.656959	Chromosome 6 open reading frame 204		C6orf204	AA621378	
6246	Data not found			NA	AA621381	
6247	Data not found			NA	AA621402	
6248	Data not found			NA	AA621455	
